read_name,read_len,start_time,barcode,best_reference,ref_len,start_coords,end_coords,num_matches,aln_block_len
953e7d23-8fdf-45a2-93e4-761db929442b,377,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,16733,17079,184,351
d90df292-ccff-4daa-827b-7dcf503a86a0,393,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,17730,18025,186,305
431ea2ac-013b-4b82-a921-8d4c63d3f6de,435,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,10941,11310,225,382
abf48de0-9d49-44dc-9298-fd22d23cd2d4,193,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,8827,8952,107,125
3eede857-c803-4f71-a442-e4caac11f534,402,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,10393,10762,253,369
ba9009f2-5a68-4497-bdd1-c164406e5039,412,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,11795,12170,197,382
455813ac-5987-4004-aeee-46bd91d7500c,406,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,12765,13095,110,332
995ba58b-b4bc-4f02-bffd-a1fbd4f5fdea,415,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,17086,17378,135,294
f9362611-e0d6-4449-a190-d521a435cdaf,430,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,949,1330,262,390
5a753393-619d-46e4-803e-0f0f4fbc2167,399,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,14920,15214,62,297
817e26d8-4229-47ec-9ebc-3118bfd9a854,373,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,4597,4907,126,312
25f6432e-1e1b-4da6-9daa-3a6d903c12f1,422,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,4575,4917,171,342
84b5fdfd-8c07-4be7-9dd3-d42af79f7cd1,382,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,10670,11029,291,364
c81d3307-d3da-4943-806c-247a1d7f686c,380,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,13994,14340,263,351
2779c20e-3f65-48be-be12-0e2de3cc9b82,393,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,3806,4061,145,255
6c01ebcd-8dcc-4ec4-818f-42378dcb330b,412,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,17038,17418,235,383
34e3d7cb-ab05-4d00-9b7a-8eec978d7eaf,409,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,673,1024,297,352
b9a31061-33c0-422e-9256-3f3d269c1e0e,422,2019-08-30T14:44:23Z,none,NiV|human|MYS|Nipah|1999,18246,334,725,218,392
06eb36be-f80a-428d-a682-dd23b70b1e4a,431,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,1275,1633,174,366
44411f68-92e2-4c71-97ad-b745032d55a9,406,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,11789,12161,271,374
586a8721-40cc-4ee9-8d0a-f0cb668fd37c,382,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,17670,18033,252,367
5876fc74-fff8-4934-b168-69caff49f140,269,2019-08-30T14:44:23Z,none,NiV|human|BGD|NIVBGD2010FARIDPUR|2010,18167,7261,7304,43,43
ea5ec477-be79-41c4-b6f8-ea74f6fea893,412,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,14594,14970,280,379
9d4a9cf0-ad48-49f0-8b7a-66f2bdaf93bf,409,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,10400,10758,194,361
02609990-3cb6-4d91-99bf-250dd3b9ca4e,390,2019-08-30T14:44:22Z,none,NiV|human|MYS|Nipah|1999,18246,14880,15252,152,377
